4.07843656  2.90132270  6.42046366
6.59884682  6.21131117  -2.43018734
7.79976947  23.42531673  -7.19417559
1.95763691  4.98974811  -3.41602715
8.83345701  5.70978737  -1.38533777
9.76484919  6.04361612  -1.46976892
3.82285931  2.82350521  -5.02367807
8.96286488  5.62092188  1.76388605
9.59257900  5.00758073  4.36983300
9.21349115  5.69335405  -5.52585879
7.74686469  5.00884239  0.66749195
9.51610171  6.38668103  2.14069745
8.29654040  5.34965361  1.85336720
4.51011935  -2.88778064  0.37401263
5.27713818  4.67385517  4.20508418
7.47975140  2.84038195  3.13037033
7.11843216  4.52641571  -4.85746876
9.71302032  -0.03810571  -3.38638003
8.10018931  4.33424857  -0.95932255
3.45871859  5.41547766  -0.42426697
7.56582783  3.76332957  1.00080961
8.67739974  0.72688428  -6.51053335
9.65541330  6.35744309  -1.60027589
9.11820789  4.84316795  -3.38664577
6.99254621  16.48979010  4.16675441
6.15008479  5.04603941  -1.35932229
8.01689258  5.24154528  1.09917996
8.59426851  5.17222116  3.35876266
9.83930786  4.06072565  4.79640067
7.64034070  4.74656663  -2.92805944
9.38799978  3.74121790  -3.80182755
7.41719403  -17.16706861  -2.89721984
6.99387709  5.21865362  0.84841952
9.82504866  4.93446409  0.62237226
9.75029677  8.17581102  -4.39121892
9.26019629  4.20656834  -6.95332059
6.16437033  5.26712293  -1.14045690
6.10601282  4.73897497  -3.60854238
7.32730476  5.13034635  3.05858605
9.37251640  3.55306387  3.44216143
8.99167363  7.68797070  2.84446985
9.92109626  4.87252915  -1.29620576
8.48608352  4.97158348  -1.72645295
6.66899782  5.34899187  4.29438325
6.97326484  5.53779186  -4.12447514
9.14096825  5.54272442  -1.99976259
9.10642000  6.07636929  0.08859010
9.64999924  6.71049957  -2.07503256
9.66407997  2.79779581  -0.71739731
8.78523493  6.55928081  -6.25213851
7.10061670  4.42235110  -0.44300238
7.25796007  4.87085600  8.02615183
5.03682252  6.66163445  -3.44533607
9.67663125  5.36094981  2.74327065
8.82976511  7.29115741  5.02040528
5.16579350  6.40663252  -1.20130694
2.10571849  5.45242657  4.88042957
6.94926310  5.26594812  -1.60921697
8.17965174  4.22194441  -0.82378656
8.56892395  3.70558628  -2.70289538
7.05737091  4.18983480  -6.42183145
7.01379201  6.56909215  3.29125673
4.64291139  5.07957590  0.15774282
8.27923256  0.11277148  1.31798018
6.85533287  4.66684181  3.54122959
7.11388011  5.48467874  3.40189487
6.17201549  4.05063356  3.61919123
4.98581305  4.96577701  -5.52897676
7.46023519  5.84959437  -2.63894069
9.32662321  4.82031835  -0.47736158
8.14595079  6.68075814  -8.40407505
6.51459874  4.98248162  2.87683679
8.08992225  2.70761875  -3.92614948
7.15185756  6.51379845  0.85099166
8.83750023  5.82118852  4.29006670
8.16884208  39.08669482  2.46647891
6.27013505  6.33775590  -1.28731284
5.79233820  5.57923207  -2.30070605
8.56013548  4.50709311  -3.77528025
7.61615444  4.46109299  -0.31958453
7.84524304  5.18419527  3.13585671
7.51556123  4.97022883  -4.25100871
7.92053752  3.29891869  1.88631404
9.80884023  4.44871760  -0.99414267
