1.5319  2.1208  4.6885
2.3127  1.2881  1.8642
1.5077  2.5363  2.7659
1.9217  2.0314  4.6509
3.0572  2.9027  2.8862
3.0539  1.5073  5.3213
2.9963  2.7690  2.7779
2.9556  2.1761  4.5024
2.5424  2.3358  4.3165
1.5323  1.9334  4.8689
1.4140  3.4819  3.9598
2.1994  2.4745  5.9357
3.7423  2.1819  5.2228
2.1531  3.2344  1.5820
1.7580  2.0157  5.5595
2.1166  2.6301  4.4152
3.9767  2.5102  1.9285
2.8190  2.3169  3.3352
3.9455  1.3678  4.0844
3.8175  2.2995  3.2220
4.2256  2.0625  4.2901
3.4876  1.9529  4.8964
