x         y     erx     ery
0.266111  12109 0  110.041
0.598333  11401 0  106.775
0.930556  11082 0  105.271
1.26278  10823 0  104.034
1.595  10715 0  103.513
1.92722  10041 0  100.205
2.25944  9763 0  98.8079
2.59167  9562 0  97.7855
2.92389  9524 0  97.591
3.25611  9525 0  97.5961
3.58833  9558 0  97.765
3.92056  10056 0  100.28
4.25278  10560 0  102.762
4.585  11030 0  105.024
4.91722  11210 0  105.877
5.24944  11254 0  106.085
5.58167  10838 0  104.106
5.91389  9990 0  99.95
6.24611  8921 0  94.451
6.57833  7809 0  88.3685
6.91056  7091 0  84.2081
7.24278  6437 0  80.2309
7.575  5836 0  76.3937
7.90722  5699 0  75.4917
8.23944  5490 0  74.0945
8.57167  5047 0  71.0422
8.90389  4918 0  70.1285
9.23611  4863 0  69.7352
9.56833  4754 0  68.9493
9.90056  4566 0  67.5722
10.2328  4357 0  66.0076
10.565  4178 0  64.6375
10.8972  4058 0  63.7024
11.2294  4058 0  63.7024
11.5617  3891 0  62.3779
11.8939  3760 0  61.3188
12.2261  3717 0  60.9672
12.5583  3466 0  58.8727
12.8906  3565 0  59.7076
13.2228  3560 0  59.6657
13.555  3460 0  58.8218
13.8872  3550 0  59.5819
14.2194  3795 0  61.6036
14.5517  3888 0  62.3538
14.8839  4176 0  64.622
15.2161  4374 0  66.1362
15.5483  4679 0  68.4032
15.8806  4952 0  70.3704
16.2128  5256 0  72.4983
16.545  5481 0  74.0338
16.8772  5493 0  74.1148
17.2094  5451 0  73.8309
17.5417  5389 0  73.4098
17.8739  5088 0  71.3302
18.2061  4870 0  69.7854
18.5383  4315 0  65.6887
18.8706  3888 0  62.3538
19.2028  3413 0  58.4209
19.535  3096 0  55.6417
19.8672  2619 0  51.1762
20.1994  2294 0  47.8957
20.5317  2013 0  44.8665
20.8639  1829 0  42.7668
21.1961  1751 0  41.845
21.5283  1558 0  39.4715
21.8606  1409 0  37.5366
22.1928  1402 0  37.4433
22.525  1346 0  36.6879
22.8572  1275 0  35.7071
23.1894  1189 0  34.4819
23.5217  1149 0  33.8969
23.8539  1079 0  32.8481
24.1861  1113 0  33.3617
24.5183  1027 0  32.0468
24.8506  978 0  31.273
25.1828  980 0  31.305
25.515  925 0  30.4138
25.8472  869 0  29.4788
26.1794  884 0  29.7321
26.5117  871 0  29.5127
26.8439  773 0  27.8029
27.1761  822 0  28.6705
27.5083  860 0  29.3258
27.8406  765 0  27.6586
28.1728  713 0  26.7021
28.505  679 0  26.0576
28.8372  678 0  26.0384
29.1694  660 0  25.6905
29.5017  642 0  25.3377
29.8339  617 0  24.8395
