6.62132  6.628847  8.19191  9.28003  3.638675
4.31961  3.436577  8.602  16.6725  4.576344
4.55242  13.699271  10.4937  15.2787  2.859452
7.53545  5.021908  9.72545  18.6885  3.654714
-0.994456  7.463908  15.921  2.06107  4.112482
1.36315  11.126342  10.9138  12.7713  4.059465
6.20412  1.487961  14.4069  6.73277  3.810612
3.46771  10.346534  10.7928  10.5534  4.567351
5.53378  9.364041  12.2889  8.15122  3.991286
2.6909  4.050008  12.2876  13.0078  4.936259
8.06649  7.841564  14.4826  16.4652  3.809866
2.22473  13.785500  10.9261  14.6797  3.513196
2.46711  7.707038  12.8381  10.1349  4.347057
1.32918  5.102025  9.21988  15.4813  3.610571
3.47261  3.705299  12.2497  19.0041  3.659607
2.40117  2.296838  9.65769  5.95703  4.268627
2.65234  0.841071  12.0598  18.0361  3.864855
1.88896  1.173320  15.0491  7.48904  4.030851
5.92532  4.687160  7.90081  8.79095  3.725332
3.15927  1.393847  6.52654  3.00162  3.487518
7.18078  8.589287  11.2643  12.6509  4.618533
1.24409  0.614144  16.6177  0.253354  3.148047
3.51074  5.655251  10.9582  9.67253  3.892972
3.72173  0.172898  16.8207  14.7597  3.928251
3.86715  4.874452  12.5412  7.18113  2.857904
2.74217  2.028885  11.3356  19.9076  3.642227
1.52214  7.344762  9.19253  2.76623  3.992592
3.63794  3.365282  13.6767  3.74603  4.052188
2.81648  7.154958  5.88161  7.26021  5.141827
3.72739  6.860612  9.23065  16.9773  4.486077
4.0005  7.532257  5.72451  13.3401  4.390127
0.85019  8.233802  16.4711  6.64217  3.139579
6.83767  5.068745  5.8944  11.1465  3.858594
1.20502  12.257537  15.9837  5.47536  3.862528
5.44284  7.079913  10.6661  20.8972  5.053181
3.0549  8.550079  9.1237  17.6074  3.379299
6.93014  7.982070  13.3692  13.7835  4.084435
5.42362  4.975405  14.1011  12.718  3.618377
3.79706  3.269638  12.4599  14.8547  4.036266
6.71397  6.239177  9.5426  20.2475  3.268546
4.27886  3.155990  13.4892  11.4105  3.800539
7.21473  11.871811  10.7952  9.90451  5.046145
2.55264  6.134549  12.1818  18.2015  3.654910
